word	menukad	lex	unvocalized_lex	POS	Prefix	Gender	Number	Person	Status	Tense	Binyan	Suffix	Suf_Gender	Suf_Number	Suf_Person	fAramaic	no_pipe_menukad	no_prefix_menukad
#	#			PUNCTUATION												False	#	#
#	#			PUNCTUATION												False	#	#
#	#			PUNCTUATION												False	#	#
ל|כל	לְ|כׇל	כֹּל	כול	QUANTIFIER	PREPOSITION				CONSTRUCT							False	לְכׇל	כׇּל
אחד	אֶחָד	אֶחָד	אחד	NUMERAL		MASCULINE	SINGULAR		ABSOLUTE							False	אֶחָד	אֶחָד
יש	יֵשׁ	יֵשׁ	יש	EXISTENTIAL												False	יֵשׁ	יֵשׁ
/	/			PUNCTUATION												False	/	/
שלומי	שְׁלוֹמֵי	שָׁלוֹם	שלום	NOUN		MASCULINE	PLURAL		CONSTRUCT							False	שְׁלוֹמֵי	שְׁלוֹמֵי
שבת	שַׁבָּת	שַׁבָּת	שבת	NOUN		FEMININE	SINGULAR		ABSOLUTE							False	שַׁבָּת	שַׁבָּת
ו|ליאור	וְ|לִיאוֹר	לִיאוֹר	ליאור	PROPERNAME	CONJUNCTION											False	וְלִיאוֹר	לִיאוֹר
נרקיס	נַרְקִיס	נַרְקִיס	נרקיס	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	נַרְקִיס	נַרְקִיס

ל|כל	לְ|כׇל	כֹּל	כול	QUANTIFIER	PREPOSITION				CONSTRUCT							False	לְכׇל	כׇּל
אחד	אֶחָד	אֶחָד	אחד	NUMERAL		MASCULINE	SINGULAR		ABSOLUTE							False	אֶחָד	אֶחָד
יש	יֵשׁ	יֵשׁ	יש	EXISTENTIAL												False	יֵשׁ	יֵשׁ
ת'אחת	תְּ'אַחַת			NOUN		FEMININE	SINGULAR		ABSOLUTE			POSSESIVEPRONOUN				False	תְּ'אַחַת	תְּ'אַחַת
